"September 09, 2019 at 07:56PM","13F-NT - Attucks Asset Management, LLC (0001451086) (Filer)",https://www.sec.gov/Archives/edgar/data/1451086/000145108619000006/0001451086-19-000006-index.htm,<b>Filed:</b> 2019-09-09 <b>AccNo:</b> 0001451086-19-000006 <b>Size:</b> 6 KB
"September 09, 2019 at 08:10PM",13F-HR/A - Gladstone Capital Management LLP (0001353394) (Filer),https://www.sec.gov/Archives/edgar/data/1353394/000117266119001910/0001172661-19-001910-index.htm,<b>Filed:</b> 2019-09-09 <b>AccNo:</b> 0001172661-19-001910 <b>Size:</b> 9 KB
"September 09, 2019 at 08:17PM",13F-HR/A - Gladstone Capital Management LLP (0001353394) (Filer),https://www.sec.gov/Archives/edgar/data/1353394/000117266119001911/0001172661-19-001911-index.htm,<b>Filed:</b> 2019-09-09 <b>AccNo:</b> 0001172661-19-001911 <b>Size:</b> 8 KB
"September 09, 2019 at 08:22PM",13F-HR/A - Gladstone Capital Management LLP (0001353394) (Filer),https://www.sec.gov/Archives/edgar/data/1353394/000117266119001912/0001172661-19-001912-index.htm,<b>Filed:</b> 2019-09-09 <b>AccNo:</b> 0001172661-19-001912 <b>Size:</b> 8 KB
"September 09, 2019 at 08:28PM",13F-HR/A - Gladstone Capital Management LLP (0001353394) (Filer),https://www.sec.gov/Archives/edgar/data/1353394/000117266119001913/0001172661-19-001913-index.htm,<b>Filed:</b> 2019-09-09 <b>AccNo:</b> 0001172661-19-001913 <b>Size:</b> 7 KB
"September 10, 2019 at 05:33PM","13F-HR/A - CarVal Investors, LLC (0001425040) (Filer)",https://www.sec.gov/Archives/edgar/data/1425040/000117266119001915/0001172661-19-001915-index.htm,<b>Filed:</b> 2019-09-10 <b>AccNo:</b> 0001172661-19-001915 <b>Size:</b> 4 KB
"September 11, 2019 at 01:56PM",13F-HR/A - PROVIDA PENSION FUND ADMINISTRATOR (0000931588) (Filer),https://www.sec.gov/Archives/edgar/data/931588/000095012319008862/0000950123-19-008862-index.htm,<b>Filed:</b> 2019-09-11 <b>AccNo:</b> 0000950123-19-008862 <b>Size:</b> 5 KB
"September 11, 2019 at 03:44PM","13F-HR - RIVERSEDGE ADVISORS, LLC (0001787663) (Filer)",https://www.sec.gov/Archives/edgar/data/1787663/000178766319000001/0001787663-19-000001-index.htm,<b>Filed:</b> 2019-09-11 <b>AccNo:</b> 0001787663-19-000001 <b>Size:</b> 21 KB
"September 12, 2019 at 04:04PM",13F-HR/A - DALTON GREINER HARTMAN MAHER & CO (0000866842) (Filer),https://www.sec.gov/Archives/edgar/data/866842/000086684219000009/0000866842-19-000009-index.htm,<b>Filed:</b> 2019-09-12 <b>AccNo:</b> 0000866842-19-000009 <b>Size:</b> 72 KB
"September 12, 2019 at 04:22PM",13F-HR/A - DALTON GREINER HARTMAN MAHER & CO (0000866842) (Filer),https://www.sec.gov/Archives/edgar/data/866842/000086684219000010/0000866842-19-000010-index.htm,<b>Filed:</b> 2019-09-12 <b>AccNo:</b> 0000866842-19-000010 <b>Size:</b> 72 KB
"September 13, 2019 at 06:49PM",13F-HR/A - WATER ISLAND CAPITAL LLC (0001222765) (Filer),https://www.sec.gov/Archives/edgar/data/1222765/000122276519000015/0001222765-19-000015-index.htm,<b>Filed:</b> 2019-09-13 <b>AccNo:</b> 0001222765-19-000015 <b>Size:</b> 50 KB
"September 16, 2019 at 11:31AM",13F-HR - Rothschild & Co Wealth Management UK Ltd (0001784260) (Filer),https://www.sec.gov/Archives/edgar/data/1784260/000110465919050191/0001104659-19-050191-index.htm,<b>Filed:</b> 2019-09-16 <b>AccNo:</b> 0001104659-19-050191 <b>Size:</b> 24 KB
"September 16, 2019 at 02:04PM","13F-HR/A - Aristotle Capital Boston, LLC (0001633911) (Filer)",https://www.sec.gov/Archives/edgar/data/1633911/000139834419016610/0001398344-19-016610-index.htm,<b>Filed:</b> 2019-09-16 <b>AccNo:</b> 0001398344-19-016610 <b>Size:</b> 60 KB
"September 17, 2019 at 04:58PM","13F-HR/A - Capital Returns Management, LLC (0001525092) (Filer)",https://www.sec.gov/Archives/edgar/data/1525092/000142050619000901/0001420506-19-000901-index.htm,<b>Filed:</b> 2019-09-17 <b>AccNo:</b> 0001420506-19-000901 <b>Size:</b> 14 KB
"September 17, 2019 at 05:00PM","13F-HR/A - Capital Returns Management, LLC (0001525092) (Filer)",https://www.sec.gov/Archives/edgar/data/1525092/000142050619000902/0001420506-19-000902-index.htm,<b>Filed:</b> 2019-09-17 <b>AccNo:</b> 0001420506-19-000902 <b>Size:</b> 14 KB
"September 19, 2019 at 06:00PM","13F-HR/A - Aristotle Capital Management, LLC (0000860644) (Filer)",https://www.sec.gov/Archives/edgar/data/860644/000139834419016816/0001398344-19-016816-index.htm,<b>Filed:</b> 2019-09-19 <b>AccNo:</b> 0001398344-19-016816 <b>Size:</b> 84 KB
"September 19, 2019 at 06:40PM","13F-HR/A - Aristotle Capital Management, LLC (0000860644) (Filer)",https://www.sec.gov/Archives/edgar/data/860644/000139834419016827/0001398344-19-016827-index.htm,<b>Filed:</b> 2019-09-19 <b>AccNo:</b> 0001398344-19-016827 <b>Size:</b> 86 KB
"September 27, 2019 at 01:11PM","13F-HR - Emerson Wealth Management, LLC (0001766671) (Filer)",https://www.sec.gov/Archives/edgar/data/1766671/000142050619000912/0001420506-19-000912-index.htm,<b>Filed:</b> 2019-09-27 <b>AccNo:</b> 0001420506-19-000912 <b>Size:</b> 13 KB
"October 01, 2019 at 12:57PM",13F-HR - Pensionfund DSM Netherlands (0001297731) (Filer),https://www.sec.gov/Archives/edgar/data/1297731/000129773119000004/0001297731-19-000004-index.htm,<b>Filed:</b> 2019-10-01 <b>AccNo:</b> 0001297731-19-000004 <b>Size:</b> 93 KB
"October 01, 2019 at 01:05PM",13F-HR - Pensionfund Sabic (0001637246) (Filer),https://www.sec.gov/Archives/edgar/data/1637246/000163724619000004/0001637246-19-000004-index.htm,<b>Filed:</b> 2019-10-01 <b>AccNo:</b> 0001637246-19-000004 <b>Size:</b> 94 KB
"October 01, 2019 at 02:15PM",13F-HR - MACNEALY HOOVER INVESTMENT MANAGEMENT INC (0001106590) (Filer),https://www.sec.gov/Archives/edgar/data/1106590/000110659019000004/0001106590-19-000004-index.htm,<b>Filed:</b> 2019-10-01 <b>AccNo:</b> 0001106590-19-000004 <b>Size:</b> 57 KB
"October 01, 2019 at 02:16PM",13F-HR - Tyvor Capital LLC (0001598558) (Filer),https://www.sec.gov/Archives/edgar/data/1598558/000121465919006116/0001214659-19-006116-index.htm,<b>Filed:</b> 2019-10-01 <b>AccNo:</b> 0001214659-19-006116 <b>Size:</b> 4 KB
"October 01, 2019 at 02:46PM","13F-HR - EisnerAmper Wealth Management Corporate Benefits, LLC (0001624809) (Filer)",https://www.sec.gov/Archives/edgar/data/1624809/000162480919000004/0001624809-19-000004-index.htm,<b>Filed:</b> 2019-10-01 <b>AccNo:</b> 0001624809-19-000004 <b>Size:</b> 21 KB
"October 01, 2019 at 02:59PM",13F-NT - OLD GLORY ASSET MANAGEMENT LLC (0001356954) (Filer),https://www.sec.gov/Archives/edgar/data/1356954/000114420419046635/0001144204-19-046635-index.htm,<b>Filed:</b> 2019-10-01 <b>AccNo:</b> 0001144204-19-046635 <b>Size:</b> 4 KB
"October 01, 2019 at 04:14PM",13F-HR - CULLINAN ASSOCIATES INC (0001161670) (Filer),https://www.sec.gov/Archives/edgar/data/1161670/000116167019000004/0001161670-19-000004-index.htm,<b>Filed:</b> 2019-10-01 <b>AccNo:</b> 0001161670-19-000004 <b>Size:</b> 84 KB
"October 01, 2019 at 08:23PM",13F-HR - Kassirer Asset Management Corp (0001659420) (Filer),https://www.sec.gov/Archives/edgar/data/1659420/000117266119001952/0001172661-19-001952-index.htm,<b>Filed:</b> 2019-10-01 <b>AccNo:</b> 0001172661-19-001952 <b>Size:</b> 4 KB
